total_tasks,avg_progress,avg_estimated_hours,total_estimated_hours,avg_hours_logged,total_hours_logged,hours_efficiency,project_duration_days,completed_task_count,in_progress_task_count,on_hold_task_count,not_started_task_count,cancelled_task_count,avg_allocation_score,avg_workload,avg_experience,avg_performance,avg_task_duration_days,risk_level,status
5,93.04,17.02,79.66,16.29,81.47,1.02,54,4,1,0,0,0,0.87,69.43,8.76,4.31,10.80,Low,Completed
11,94.62,23.66,269.93,24.79,272.70,1.01,73,8,1,0,1,1,0.86,52.93,8.20,4.12,6.64,Medium,Completed
14,74.11,26.54,371.12,22.77,318.74,0.86,48,4,6,1,2,1,0.78,78.54,3.51,3.20,3.43,Low,In Progress
9,49.10,21.01,205.22,17.68,159.13,0.78,87,2,0,5,2,0,0.67,63.58,4.37,4.20,9.67,High,On Hold
6,65.18,31.34,190.99,23.04,138.23,0.72,96,2,3,0,1,0,0.57,65.46,8.87,3.37,16.00,Medium,In Progress
9,91.42,9.71,82.47,9.42,84.76,1.03,65,5,1,1,1,1,0.79,52.34,5.38,4.92,7.22,Low,Completed
12,35.39,32.72,400.75,27.68,332.22,0.83,131,3,1,6,1,1,0.71,83.38,4.38,4.06,10.92,Critical,On Hold
7,97.75,9.45,72.05,9.15,64.07,0.89,44,5,1,0,0,1,0.83,62.53,1.45,4.03,6.29,Low,Completed
8,28.11,32.12,245.58,17.16,137.32,0.56,101,2,1,2,2,1,0.33,92.17,3.53,2.76,12.62,Critical,Delayed
12,47.82,15.58,194.08,12.88,154.51,0.80,72,3,1,6,2,0,0.61,67.95,7.74,3.65,6.00,High,On Hold
6,65.04,15.50,86.81,9.49,56.93,0.66,110,2,3,0,1,0,0.78,66.64,6.50,4.02,18.33,Medium,In Progress
6,30.19,36.32,227.45,25.82,154.92,0.68,92,1,0,3,1,1,0.64,76.95,5.89,3.52,15.33,Critical,On Hold
8,47.67,18.88,134.19,14.67,117.37,0.87,45,2,4,0,2,0,0.80,73.53,9.86,4.41,5.62,High,In Progress
11,50.68,12.82,159.69,9.98,109.77,0.69,78,3,3,2,2,1,0.50,61.50,9.14,3.97,7.09,Medium,In Progress
7,87.97,11.67,99.38,13.25,92.77,0.93,64,5,0,1,0,1,0.87,60.28,4.62,4.88,9.14,Medium,Completed
11,28.37,27.32,315.06,19.92,219.09,0.70,174,2,1,5,3,0,0.46,85.76,5.44,2.95,15.82,Critical,Delayed
13,30.52,14.97,175.26,9.47,123.13,0.70,110,2,3,4,3,1,0.47,93.14,9.09,3.10,8.46,Critical,Delayed
5,90.06,33.63,152.34,36.09,180.44,1.18,84,4,0,1,0,0,0.72,64.63,3.04,4.90,16.80,Medium,Completed
12,11.35,26.18,305.96,25.53,306.35,1.00,83,1,2,1,7,1,0.74,60.79,8.04,3.36,6.92,Low,Planning
8,27.22,14.98,139.45,9.44,75.49,0.54,152,2,1,2,3,0,0.57,94.90,1.69,3.84,19.00,High,Delayed
5,18.69,25.83,115.41,24.12,120.62,1.05,107,1,0,0,4,0,0.67,64.57,2.26,3.86,21.40,Medium,Planning
6,73.01,16.82,89.12,10.21,61.24,0.69,113,2,3,0,1,0,0.71,73.29,1.29,3.71,18.83,High,In Progress
10,23.49,37.70,390.79,26.00,259.97,0.67,93,2,2,4,1,1,0.68,83.46,6.96,3.12,9.30,High,On Hold
9,48.18,34.07,311.10,25.53,229.78,0.74,94,2,4,1,2,0,0.61,70.33,7.08,3.99,10.44,Medium,In Progress
9,61.71,9.34,80.84,6.23,56.10,0.69,110,2,3,1,2,1,0.57,72.56,7.58,4.44,12.22,Medium,In Progress
13,68.43,20.90,281.83,16.98,220.79,0.78,113,4,4,2,2,1,0.62,71.10,9.04,3.99,8.69,Medium,In Progress
12,88.84,16.04,206.22,16.76,201.15,0.98,61,8,1,1,1,1,0.93,55.38,8.96,4.56,5.08,Medium,Completed
5,30.37,30.29,144.45,21.01,105.05,0.73,132,1,0,3,1,0,0.70,80.14,9.52,3.60,26.40,Critical,On Hold
14,20.50,17.74,236.34,7.56,105.89,0.45,136,2,3,5,3,1,0.45,98.34,7.99,2.70,9.71,Critical,Delayed
11,87.23,20.58,210.38,18.62,204.86,0.97,43,7,1,1,1,1,0.78,51.92,3.11,4.83,3.91,High,Completed
12,70.74,9.62,97.01,7.98,95.77,0.99,62,4,4,2,2,0,0.72,83.67,8.03,3.47,5.17,Medium,In Progress
6,92.50,20.73,143.31,22.04,132.22,0.92,88,4,0,0,1,1,0.84,68.79,2.19,4.51,14.67,Low,Completed
5,6.43,18.16,81.18,11.53,57.67,0.71,119,0,0,0,4,1,0.64,68.44,8.84,3.13,23.80,Low,Planning
11,13.58,23.50,266.26,19.30,212.26,0.80,106,1,2,1,6,1,0.74,79.00,2.39,3.22,9.64,Low,Planning
8,8.70,9.11,68.55,8.01,64.05,0.93,42,1,2,0,5,0,0.79,68.62,4.04,3.47,5.25,Low,Planning
7,13.91,12.52,89.43,5.53,38.74,0.43,94,1,1,3,2,0,0.52,87.21,7.04,2.91,13.43,Critical,Delayed
6,94.23,24.15,129.58,22.96,137.75,1.06,60,5,1,0,0,0,0.84,71.65,3.60,4.47,10.00,Medium,Completed
8,15.34,24.02,197.98,14.64,117.12,0.59,60,1,2,1,4,0,0.75,73.90,8.02,3.02,7.50,High,Planning
5,29.13,23.75,106.56,15.70,78.48,0.74,142,1,1,2,1,0,0.38,97.31,1.93,2.69,28.40,Medium,Delayed
7,13.63,36.47,273.02,33.05,231.35,0.85,31,0,1,1,5,0,0.63,66.90,7.92,3.34,4.43,Medium,Planning
12,15.52,9.92,104.26,8.36,100.26,0.96,113,1,2,1,7,1,0.53,84.92,2.65,3.89,9.42,Low,Planning
13,13.22,34.94,453.59,31.83,413.84,0.91,80,1,2,1,8,1,0.55,67.40,6.97,4.45,6.15,Low,Planning
9,18.52,19.61,178.34,14.43,129.87,0.73,177,1,1,3,3,1,0.58,88.13,2.29,3.57,19.67,Critical,Delayed
8,15.45,27.66,224.56,13.87,110.98,0.49,105,2,2,2,1,1,0.50,92.67,6.34,2.52,13.12,High,Delayed
5,6.42,34.79,159.06,22.63,113.16,0.71,44,0,0,0,4,1,0.75,82.96,6.85,3.16,8.80,Low,Planning
12,32.36,16.14,174.24,9.95,119.36,0.69,129,2,1,5,3,1,0.55,97.98,5.98,3.72,10.75,Critical,Delayed
6,86.93,20.44,112.25,18.98,113.87,1.01,49,5,0,0,0,1,0.72,70.74,9.79,4.40,8.17,Low,Completed
8,57.08,22.84,175.54,18.06,144.47,0.82,45,2,4,0,2,0,0.70,77.05,3.84,3.20,5.62,High,In Progress
7,15.95,16.22,125.67,12.49,87.45,0.70,48,1,0,1,4,1,0.69,64.67,1.23,3.43,6.86,Low,Planning
9,28.94,15.23,139.14,12.33,110.97,0.80,75,1,1,5,1,1,0.58,79.29,6.87,4.25,8.33,Medium,On Hold
12,64.59,24.74,287.79,18.80,225.56,0.78,146,2,6,2,2,0,0.55,84.43,5.90,3.20,12.17,Low,In Progress
11,95.25,25.81,278.22,30.28,333.10,1.20,75,7,1,1,1,1,0.93,74.38,8.50,4.30,6.82,High,Completed
9,54.54,21.19,208.13,14.84,133.58,0.64,67,3,4,1,1,0,0.67,68.64,8.34,3.70,7.44,Medium,In Progress
7,11.78,22.46,151.38,17.07,119.51,0.79,108,1,0,0,6,0,0.80,60.00,6.53,3.92,15.43,Low,Planning
6,91.68,31.38,173.67,30.10,180.59,1.04,39,5,1,0,0,0,0.85,64.54,4.61,4.34,6.50,Low,Completed
10,62.86,27.84,286.32,19.10,190.97,0.67,115,3,4,0,2,1,0.76,74.42,4.11,4.20,11.50,High,In Progress
13,9.79,21.85,287.86,13.81,179.58,0.62,77,1,2,1,8,1,0.64,72.56,2.81,3.47,5.92,Medium,Planning
8,49.13,14.25,121.11,10.39,83.11,0.69,139,2,2,3,1,0,0.55,78.05,1.36,3.61,17.38,Critical,On Hold
9,46.22,33.91,323.21,20.65,185.81,0.57,58,3,1,4,1,0,0.50,65.67,6.10,3.53,6.44,Critical,On Hold
11,45.06,36.88,400.97,25.32,278.49,0.69,82,3,2,3,2,1,0.56,71.03,2.79,3.40,7.45,Critical,On Hold
12,25.64,15.92,205.65,7.41,88.98,0.43,140,2,3,4,3,0,0.47,83.70,1.54,3.41,11.67,High,Delayed
14,22.79,14.47,198.10,6.09,85.20,0.43,127,2,3,5,3,1,0.44,87.66,8.55,2.72,9.07,Critical,Delayed
9,48.79,24.65,241.67,16.78,151.05,0.63,127,1,0,5,2,1,0.51,62.45,1.40,3.28,14.11,Critical,On Hold
9,25.10,26.85,239.86,20.96,188.67,0.79,99,2,1,4,2,0,0.54,63.08,5.67,3.37,11.00,High,On Hold
10,15.06,10.92,100.60,9.49,94.86,0.94,92,1,1,1,6,1,0.69,70.27,5.41,3.62,9.20,Low,Planning
5,13.25,13.67,52.27,13.43,67.15,1.28,37,0,0,0,5,0,0.79,62.87,5.41,3.25,7.40,Low,Planning
7,68.45,29.68,209.65,23.45,164.15,0.78,107,2,4,0,1,0,0.63,75.69,6.83,4.27,15.29,Medium,In Progress
15,66.93,27.59,394.56,18.71,280.58,0.71,120,4,6,2,2,1,0.63,74.46,8.49,4.21,8.00,Low,In Progress
5,36.46,38.63,208.76,33.26,166.29,0.80,89,1,0,3,1,0,0.62,72.99,9.97,3.20,17.80,Critical,On Hold
13,66.93,39.73,504.81,29.49,383.32,0.76,108,4,5,2,2,0,0.71,74.73,9.45,3.52,8.31,Medium,In Progress
9,34.19,14.72,142.20,8.98,80.84,0.57,91,2,0,4,2,1,0.51,77.48,3.98,4.12,10.11,Critical,On Hold
9,40.82,12.26,100.81,9.41,84.71,0.84,66,3,1,3,1,1,0.55,67.98,4.74,4.36,7.33,High,On Hold
10,15.72,13.58,134.68,8.65,86.45,0.64,47,1,2,1,5,1,0.61,63.13,3.28,3.96,4.70,Low,Planning
5,30.21,11.89,62.99,6.26,31.31,0.50,108,0,1,2,2,0,0.48,85.91,3.30,2.99,21.60,Critical,Delayed
12,14.30,10.16,135.13,4.78,57.39,0.42,120,2,3,4,3,0,0.46,84.28,3.55,3.10,10.00,High,Delayed
11,91.42,16.51,174.94,17.62,193.84,1.11,34,7,1,1,1,1,0.84,66.58,7.11,4.93,3.09,High,Completed
15,72.10,15.39,246.81,10.81,162.22,0.66,143,4,6,2,2,1,0.51,65.24,4.75,3.53,9.53,Critical,In Progress
5,98.67,24.39,129.17,28.77,143.85,1.11,68,4,0,0,1,0,0.86,73.36,3.73,4.78,13.60,Medium,Completed
14,56.01,38.89,541.54,33.16,464.28,0.86,114,4,5,2,2,1,0.54,65.16,3.82,3.95,8.14,Medium,In Progress
8,50.48,33.44,260.48,30.30,242.41,0.93,58,3,3,0,2,0,0.79,69.42,4.05,3.09,7.25,High,In Progress
12,13.67,37.64,466.52,26.88,322.50,0.69,125,1,3,4,3,1,0.51,98.90,7.14,3.00,10.42,Critical,Delayed
13,65.48,35.57,447.84,34.89,453.54,1.01,65,3,6,2,1,1,0.57,83.59,8.84,3.43,5.00,Low,In Progress
11,95.04,28.00,313.53,27.78,305.57,0.97,36,7,1,1,1,1,0.82,71.23,4.45,4.17,3.27,Medium,Completed
9,96.61,17.85,159.76,20.31,182.83,1.14,77,7,1,0,1,0,0.88,52.64,8.55,4.67,8.56,Medium,Completed
5,29.78,17.74,74.25,14.98,74.92,1.01,127,1,0,3,1,0,0.52,68.74,8.76,3.35,25.40,Critical,On Hold
13,21.02,39.22,504.69,21.29,276.83,0.55,171,2,3,4,3,1,0.56,90.11,5.57,2.71,13.15,Medium,Delayed
10,97.53,21.28,209.73,24.17,241.69,1.15,64,7,1,1,1,0,0.91,66.84,2.24,4.28,6.40,Low,Completed
9,72.62,31.88,279.42,29.92,269.24,0.96,113,2,4,1,1,1,0.60,61.37,2.84,3.63,12.56,Medium,In Progress
13,41.68,13.37,158.63,8.38,108.99,0.69,67,2,2,6,2,1,0.57,77.64,3.77,3.36,5.15,High,On Hold
7,88.26,11.54,62.20,13.83,96.79,1.30,45,5,1,0,1,0,0.89,56.86,6.62,4.08,6.43,Low,Completed
6,68.20,22.21,140.31,17.85,107.10,0.76,123,2,3,0,1,0,0.70,60.79,5.81,3.06,20.50,Low,In Progress
6,90.58,32.15,182.82,34.12,204.74,1.12,75,4,1,0,1,0,0.92,56.68,5.81,4.86,12.50,Low,Completed
6,98.89,34.20,198.72,39.27,235.65,1.19,67,4,0,1,0,1,0.94,53.43,5.84,4.18,11.17,Low,Completed
14,73.60,33.85,483.42,27.58,386.16,0.80,109,3,6,2,2,1,0.52,67.44,3.68,3.48,7.79,Medium,In Progress
13,50.16,14.08,195.94,11.52,149.74,0.76,81,3,5,2,2,1,0.64,78.45,2.25,3.66,6.23,High,In Progress
15,71.35,36.42,534.30,25.99,389.90,0.73,123,4,6,2,2,1,0.79,78.86,5.01,3.89,8.20,Low,In Progress
6,39.37,22.31,147.06,19.23,115.37,0.78,154,1,0,3,1,1,0.55,73.68,1.79,3.57,25.67,Critical,On Hold
11,15.59,9.38,90.34,7.10,78.09,0.86,86,1,2,1,6,1,0.65,80.73,5.57,3.93,7.82,Low,Planning
15,72.72,37.36,575.97,31.77,476.50,0.83,126,4,6,2,2,1,0.75,74.05,7.04,4.39,8.40,High,In Progress
14,25.02,38.97,551.86,24.38,341.38,0.62,165,2,3,5,3,1,0.51,87.25,8.42,2.81,11.79,Critical,Delayed
6,25.98,13.77,66.98,13.12,78.75,1.18,64,1,1,3,1,0,0.62,61.81,6.18,4.28,10.67,Critical,On Hold
9,19.93,17.54,141.41,13.40,120.62,0.85,91,1,2,2,3,1,0.37,96.25,4.09,2.67,10.11,Critical,Delayed
13,72.49,25.73,335.84,17.45,226.83,0.68,128,4,5,2,1,1,0.60,69.30,7.84,3.51,9.85,Critical,In Progress
8,86.22,16.23,128.41,15.71,125.67,0.98,48,6,0,1,0,1,0.82,67.29,3.36,4.62,6.00,Medium,Completed
7,89.79,25.71,171.97,26.47,185.26,1.08,85,5,1,1,0,0,0.81,71.21,4.27,4.79,12.14,High,Completed
11,16.23,8.64,77.55,6.52,71.76,0.93,101,1,2,1,6,1,0.61,75.87,2.68,4.12,9.18,Medium,Planning
14,34.25,25.00,345.88,21.13,295.88,0.86,157,3,2,6,2,1,0.77,73.13,7.37,3.38,11.21,Critical,On Hold
14,24.59,15.76,227.11,14.74,206.38,0.91,51,3,2,6,2,1,0.72,75.01,7.58,4.15,3.64,Medium,On Hold
7,18.20,24.50,171.40,11.55,80.84,0.47,107,0,2,2,2,1,0.54,91.95,4.54,3.21,15.29,High,Delayed
10,87.32,19.39,201.17,19.05,190.50,0.95,32,6,1,1,1,1,0.88,63.38,6.72,4.20,3.20,Low,Completed
9,95.07,37.72,348.99,37.41,336.68,0.96,84,5,1,1,1,1,0.93,63.19,3.33,4.05,9.33,Medium,Completed
5,14.36,17.69,89.74,11.07,55.35,0.62,93,0,1,3,1,0,0.51,94.24,9.09,3.37,18.60,Critical,Delayed
6,63.70,31.08,173.81,22.73,136.37,0.78,55,2,3,0,1,0,0.68,72.24,5.76,3.50,9.17,High,In Progress
14,47.99,32.00,460.18,20.95,293.31,0.64,143,3,2,6,2,1,0.78,72.56,3.95,4.11,10.21,High,On Hold
11,47.56,9.59,110.42,6.00,65.95,0.60,95,2,6,1,2,0,0.79,72.95,6.53,3.35,8.64,High,In Progress
6,22.62,22.62,149.54,10.08,60.48,0.40,163,1,1,2,2,0,0.53,81.24,6.19,2.68,27.17,Critical,Delayed
8,11.74,35.01,270.56,26.91,215.28,0.80,113,1,0,1,5,1,0.67,74.27,3.99,3.47,14.12,Low,Planning
9,41.03,35.79,324.73,28.87,259.86,0.80,62,2,1,4,2,0,0.59,75.77,5.10,3.72,6.89,Critical,On Hold
11,61.39,11.63,114.76,9.52,104.73,0.91,70,4,4,0,2,1,0.57,68.58,8.67,3.84,6.36,High,In Progress
7,47.39,31.79,223.84,30.02,210.13,0.94,120,2,3,1,1,0,0.70,83.31,6.18,3.19,17.14,High,In Progress
13,20.06,17.91,220.90,13.67,177.77,0.80,129,2,3,4,3,1,0.39,92.51,2.39,3.06,9.92,Critical,Delayed
8,96.86,18.44,146.24,17.41,139.30,0.95,56,6,1,0,1,0,0.75,73.80,4.08,4.99,7.00,Medium,Completed
9,20.08,34.13,322.61,14.84,133.53,0.41,101,1,3,2,3,0,0.49,92.42,2.09,3.97,11.22,Critical,Delayed
11,38.82,38.02,409.26,27.86,306.51,0.75,105,2,2,4,2,1,0.78,84.94,1.29,3.35,9.55,High,On Hold
9,89.74,17.74,179.01,19.39,174.52,0.97,69,5,1,1,1,1,0.80,55.98,6.66,4.64,7.67,Medium,Completed
7,93.51,28.91,193.36,31.17,218.17,1.13,58,4,1,1,0,1,0.81,68.56,3.05,4.06,8.29,Low,Completed
6,97.38,11.78,88.86,13.67,81.99,0.92,75,5,1,0,0,0,0.74,64.95,6.98,4.42,12.50,Medium,Completed
5,96.16,24.15,101.04,26.74,133.72,1.30,84,4,0,0,1,0,0.83,68.76,3.80,4.51,16.80,Medium,Completed
5,11.85,19.51,99.00,17.31,86.53,0.87,56,0,0,0,5,0,0.64,69.65,9.70,4.05,11.20,Low,Planning
13,21.87,36.09,457.30,33.58,436.58,0.95,102,3,1,6,2,1,0.75,67.78,4.62,3.75,7.85,Medium,On Hold
8,59.15,13.62,109.50,12.07,96.57,0.88,63,2,4,0,1,1,0.57,64.15,3.99,4.41,7.88,Medium,In Progress
6,89.93,13.73,98.05,14.26,85.54,0.87,67,5,1,0,0,0,0.88,63.04,2.12,4.96,11.17,Medium,Completed
10,57.85,8.62,73.78,6.60,66.03,0.89,84,4,5,0,1,0,0.51,79.59,1.09,4.14,8.40,Low,In Progress
6,71.82,39.57,227.48,31.81,190.87,0.84,101,2,3,0,1,0,0.60,75.38,9.34,4.44,16.83,High,In Progress
8,90.67,23.11,177.87,27.40,219.22,1.23,48,6,0,0,1,1,0.95,51.37,6.21,4.08,6.00,Low,Completed
11,55.42,17.70,213.40,17.31,190.43,0.89,121,3,4,1,2,1,0.74,75.63,9.44,4.02,11.00,High,In Progress
14,17.19,30.03,430.32,14.57,203.99,0.47,171,2,3,5,3,1,0.46,90.67,4.65,2.75,12.21,Medium,Delayed
10,74.71,16.69,151.08,11.99,119.89,0.79,86,4,3,0,2,1,0.68,69.27,7.95,3.26,8.60,Medium,In Progress
14,52.08,18.82,271.64,12.70,177.81,0.65,45,4,5,2,2,1,0.54,64.64,2.64,3.77,3.21,Low,In Progress
12,90.21,15.81,187.76,18.62,223.48,1.19,63,8,1,1,1,1,0.72,61.45,4.55,4.87,5.25,Low,Completed
7,21.09,24.45,178.73,17.97,125.77,0.70,153,0,2,3,1,1,0.40,90.52,7.19,2.91,21.86,High,Delayed
11,45.20,31.91,332.97,31.26,343.82,1.03,94,4,3,1,2,1,0.73,72.85,8.01,3.78,8.55,High,In Progress
6,65.31,15.73,101.64,13.94,83.66,0.82,147,2,3,0,1,0,0.52,74.90,7.66,3.32,24.50,Low,In Progress
10,8.30,29.67,281.45,18.62,186.19,0.66,77,0,2,1,6,1,0.58,81.94,1.81,4.07,7.70,Low,Planning
8,70.99,30.53,232.93,22.80,182.36,0.78,68,2,3,0,2,1,0.76,70.46,5.00,3.45,8.50,Low,In Progress
7,94.62,10.93,86.36,9.88,69.13,0.80,35,5,0,0,1,1,0.78,51.52,7.31,4.01,5.00,Low,Completed
8,91.25,22.21,163.19,25.74,205.91,1.26,89,4,1,1,1,1,0.88,67.32,9.89,4.23,11.12,Medium,Completed
13,50.22,23.18,294.72,19.28,250.65,0.85,115,4,5,1,2,1,0.66,77.86,5.00,3.04,8.85,High,In Progress
9,86.87,28.88,242.02,29.86,268.71,1.11,41,5,1,1,1,1,0.93,71.69,7.37,4.11,4.56,Medium,Completed
7,67.94,11.65,87.28,10.88,76.13,0.87,81,2,3,0,2,0,0.58,80.17,3.27,4.24,11.57,Medium,In Progress
9,6.56,12.27,118.09,11.26,101.37,0.86,45,0,1,1,6,1,0.54,81.93,5.75,3.70,5.00,Low,Planning
12,49.07,18.10,222.11,12.45,149.45,0.67,51,4,4,1,2,1,0.58,69.63,9.49,3.92,4.25,Low,In Progress
14,10.62,22.85,331.44,14.65,205.09,0.62,100,2,3,5,3,1,0.51,94.51,8.53,3.96,7.14,Medium,Delayed
9,68.04,28.71,243.57,24.70,222.27,0.91,147,2,4,2,1,0,0.73,74.71,2.91,3.15,16.33,Medium,In Progress
15,46.98,38.30,565.51,29.08,436.15,0.77,129,4,6,2,2,1,0.79,69.00,5.30,3.53,8.60,High,In Progress
15,74.18,9.27,143.01,8.79,131.85,0.92,139,4,6,2,2,1,0.79,72.35,8.82,4.11,9.27,High,In Progress
10,5.37,14.16,125.67,13.66,136.56,1.09,92,1,2,1,5,1,0.72,72.85,6.45,3.95,9.20,Medium,Planning
13,12.74,38.33,494.15,17.25,224.20,0.45,117,2,3,4,3,1,0.36,99.97,5.87,2.93,9.00,Medium,Delayed
7,15.34,26.58,195.76,23.13,161.91,0.83,36,1,0,0,5,1,0.59,77.35,3.75,4.14,5.14,Medium,Planning
11,6.06,34.01,377.27,28.82,317.00,0.84,95,1,2,1,6,1,0.70,80.23,7.06,3.75,8.64,High,Planning
8,96.04,38.66,290.58,41.51,332.11,1.14,76,7,0,1,0,0,0.89,55.44,6.59,4.05,9.50,Low,Completed
12,95.57,36.64,442.67,36.83,442.01,1.00,30,8,1,1,1,1,0.78,61.20,4.65,4.98,2.50,Low,Completed
11,98.26,37.29,400.81,43.58,479.40,1.20,66,8,1,1,0,1,0.75,65.34,3.01,4.55,6.00,Medium,Completed
12,90.92,34.19,403.66,36.66,439.92,1.09,45,8,1,1,1,1,0.90,53.53,2.17,4.64,3.75,Low,Completed
9,94.56,11.99,102.53,11.61,104.52,1.02,65,5,1,1,1,1,0.86,56.65,1.35,4.46,7.22,Medium,Completed
7,40.57,13.24,100.32,11.51,80.58,0.80,108,3,0,3,1,0,0.57,63.30,8.98,3.41,15.43,High,On Hold
7,86.38,21.76,149.86,21.61,151.30,1.01,46,5,1,0,0,1,0.81,73.51,9.58,4.24,6.57,Medium,Completed
8,27.98,8.12,51.45,4.38,35.06,0.68,95,2,2,2,2,0,0.31,87.51,6.64,2.72,11.88,High,Delayed
7,47.38,27.07,173.81,16.43,114.99,0.66,131,1,1,4,1,0,0.55,60.18,8.25,3.12,18.71,Critical,On Hold
5,86.90,15.58,61.25,17.62,88.09,1.30,34,4,0,0,1,0,0.94,74.11,2.47,4.30,6.80,Low,Completed
7,38.89,16.34,98.09,12.42,86.91,0.89,52,2,1,3,1,0,0.62,64.16,9.88,4.23,7.43,High,On Hold
10,25.28,23.90,252.68,13.82,138.20,0.55,133,1,2,3,3,1,0.60,87.22,7.78,3.25,13.30,Critical,Delayed
10,97.41,35.49,348.65,36.09,360.92,1.04,78,6,1,1,1,1,0.80,65.11,6.67,4.42,7.80,Low,Completed
12,35.18,22.39,262.49,14.98,179.77,0.68,79,3,2,4,2,1,0.55,83.99,8.66,4.30,6.58,Critical,On Hold
13,49.37,24.58,299.79,18.90,245.72,0.82,85,3,5,2,2,1,0.76,66.73,9.84,3.57,6.54,Medium,In Progress
12,13.12,21.30,245.93,20.17,242.00,0.98,62,1,2,1,7,1,0.52,77.53,1.50,4.37,5.17,Medium,Planning
5,44.02,23.37,116.26,19.31,96.54,0.83,55,1,0,3,1,0,0.64,77.97,6.28,3.74,11.00,High,On Hold
11,46.96,38.47,424.52,32.80,360.83,0.85,71,1,2,6,1,1,0.64,63.74,9.37,3.69,6.45,High,On Hold
11,26.66,30.73,334.83,18.65,205.18,0.61,148,2,3,3,3,0,0.39,91.72,1.99,3.95,13.45,Critical,Delayed
9,86.41,32.86,302.66,35.63,320.67,1.06,47,5,1,1,1,1,0.83,50.62,4.66,4.22,5.22,Low,Completed
11,23.11,21.16,222.09,12.86,141.46,0.64,123,2,2,4,2,1,0.71,67.49,3.42,4.50,11.18,Medium,On Hold
12,43.09,11.89,148.02,11.41,136.93,0.93,87,3,2,5,1,1,0.74,70.01,9.52,3.61,7.25,Critical,On Hold
8,8.26,30.05,234.09,20.62,164.99,0.70,105,1,0,0,6,1,0.66,84.21,2.33,4.41,13.12,Low,Planning
5,34.57,25.20,129.04,16.58,82.92,0.64,126,0,2,2,1,0,0.46,90.05,3.32,3.55,25.20,Critical,Delayed
6,22.47,18.93,131.73,14.41,86.48,0.66,109,1,1,2,1,1,0.32,93.69,5.53,3.65,18.17,Critical,Delayed
13,22.19,27.45,340.19,23.53,305.89,0.90,143,3,2,5,2,1,0.69,66.33,8.23,4.23,11.00,Medium,On Hold
9,34.08,10.86,94.49,8.05,72.48,0.77,128,1,2,2,3,1,0.58,95.29,1.71,3.17,14.22,Critical,Delayed
11,16.45,15.48,175.83,10.75,118.21,0.67,70,1,2,1,6,1,0.74,69.63,4.76,3.07,6.36,Low,Planning
7,7.88,32.28,210.22,25.91,181.34,0.86,54,1,2,0,4,0,0.64,69.04,4.23,3.79,7.71,Medium,Planning
9,22.30,9.77,90.13,6.21,55.87,0.62,121,0,3,4,1,1,0.47,84.77,8.15,3.23,13.44,Critical,Delayed
8,29.21,38.38,299.22,25.62,204.95,0.68,143,1,2,3,1,1,0.51,68.08,5.90,3.83,17.88,High,On Hold
5,27.30,29.52,140.73,20.99,104.96,0.75,81,1,0,3,1,0,0.64,78.99,2.85,4.06,16.20,High,On Hold
7,93.17,18.84,134.43,18.11,126.80,0.94,63,4,1,0,1,1,0.82,70.46,7.15,4.18,9.00,Medium,Completed
12,18.85,11.96,146.83,10.69,128.27,0.87,88,1,1,1,8,1,0.66,66.74,7.32,3.99,7.33,High,Planning
9,68.60,11.52,99.04,10.77,96.95,0.98,93,2,4,1,1,1,0.65,67.50,2.36,3.43,10.33,Medium,In Progress
6,40.98,10.48,43.60,6.72,40.30,0.92,53,1,0,4,1,0,0.53,81.24,5.80,3.71,8.83,Medium,On Hold
12,26.82,23.60,288.16,18.37,220.43,0.76,152,1,3,5,2,1,0.35,94.50,5.55,3.52,12.67,Critical,Delayed
7,5.93,17.64,113.42,13.21,92.46,0.82,33,0,0,0,6,1,0.64,65.12,6.10,3.97,4.71,Low,Planning
12,17.97,8.32,115.14,5.23,62.77,0.55,155,2,1,5,3,1,0.48,84.20,2.05,3.96,12.92,Critical,Delayed
5,94.00,10.87,44.64,10.09,50.44,1.13,85,4,0,1,0,0,0.90,73.44,7.23,4.16,17.00,Low,Completed
13,9.73,16.41,223.96,15.92,207.01,0.92,111,1,2,1,8,1,0.74,77.04,9.00,4.04,8.54,Low,Planning
8,95.93,12.91,97.94,13.06,104.51,1.07,86,6,1,0,0,1,0.79,60.16,8.28,4.38,10.75,Low,Completed
9,22.53,20.49,187.53,15.66,140.97,0.75,156,0,3,3,2,1,0.42,99.44,2.43,3.03,17.33,Critical,Delayed
11,7.81,31.70,358.94,26.71,293.81,0.82,77,1,2,1,6,1,0.50,62.29,6.01,4.34,7.00,Low,Planning
12,12.80,34.76,405.75,22.53,270.38,0.67,59,1,2,1,7,1,0.56,71.55,9.13,3.08,4.92,High,Planning
13,68.25,10.10,133.28,8.45,109.81,0.82,99,4,5,1,2,1,0.69,75.17,8.65,3.81,7.62,Low,In Progress
6,48.07,30.84,173.31,25.52,153.10,0.88,113,2,3,0,1,0,0.66,62.13,3.73,4.12,18.83,Critical,In Progress
10,45.53,19.21,175.39,17.09,170.90,0.97,90,3,4,1,2,0,0.71,60.54,6.68,3.25,9.00,High,In Progress
9,17.91,19.58,177.16,13.08,117.75,0.66,169,0,2,4,3,0,0.40,83.89,6.06,2.97,18.78,Critical,Delayed
10,27.06,10.61,93.81,8.28,82.77,0.88,156,2,2,3,2,1,0.56,84.75,9.81,3.08,15.60,Critical,Delayed
