project_id,project_name,description,client_name,project_manager_id,department,start_date,planned_end_date,actual_end_date,status,priority,progress_percentage,budget,team_size,created_date
P02734,Customer Support Chatbot,Customer Support Chatbot project for Global Traders,Global Traders,EMP121,Analytics,2025-07-20,2026-01-29,,Planning,High,8,305000,16,2025-07-02
P02735,Supply Chain Analytics,Supply Chain Analytics project for Global Traders,Global Traders,EMP134,AI Development,2025-01-25,2025-05-03,,In Progress,Medium,27,1835000,20,2025-01-01
P02736,Mobile Banking Application,Mobile Banking Application project for IndustrialTech,IndustrialTech,EMP126,Operations,2025-07-13,2026-02-01,,In Progress,High,38,1470000,9,2025-06-11
P02737,Online Learning Platform,Online Learning Platform project for MarketPlus,MarketPlus,EMP122,Healthcare IT,2025-06-19,2026-01-09,2026-02-06,Completed,Low,100,2295000,16,2025-06-01
P02738,Inventory Management System,Inventory Management System project for SalesPro,SalesPro,EMP121,Marketing,2025-09-13,2025-11-04,,In Progress,Medium,46,545000,16,2025-07-18
P02739,Marketing Analytics Platform,Marketing Analytics Platform project for EduTech,EduTech,EMP101,Human Resources,2025-12-11,2026-06-27,2026-07-26,Delayed,Medium,75,630000,15,2025-11-04
P02740,Healthcare Management System,Healthcare Management System project for IndustrialTech,IndustrialTech,EMP114,Data Engineering,2026-08-17,2026-11-22,2026-12-01,Completed,Low,100,830000,8,2026-07-06
P02741,Inventory Management System,Inventory Management System project for ServicePro,ServicePro,EMP120,Analytics,2025-02-07,2025-12-03,,Planning,Medium,19,935000,18,2025-01-28
P02742,HR Automation System,HR Automation System project for Global Traders,Global Traders,EMP119,IT,2025-11-29,2026-07-05,2026-09-14,Delayed,Low,82,2370000,15,2025-10-20
P02743,Cloud Migration Project,Cloud Migration Project project for SecureNet,SecureNet,EMP114,AI Development,2025-04-13,2025-09-02,,In Progress,Medium,45,1525000,18,2025-02-25
P02744,Document Management System,Document Management System project for LogiTech,LogiTech,EMP133,Development,2025-11-25,2026-01-09,2026-02-08,Delayed,Critical,46,860000,7,2025-10-31
P02745,Inventory Management System,Inventory Management System project for IndustrialTech,IndustrialTech,EMP142,Finance,2026-01-18,2026-09-02,,In Progress,Critical,37,735000,4,2025-12-02
P02746,Supply Chain Analytics,Supply Chain Analytics project for FinTech Solutions,FinTech Solutions,EMP145,Customer Success,2026-05-01,2027-01-26,,In Progress,Medium,56,1425000,15,2026-04-22
P02747,Customer Support Chatbot,Customer Support Chatbot project for FinanceCorp,FinanceCorp,EMP149,Finance,2025-12-02,2026-05-31,,In Progress,Low,92,705000,3,2025-10-23
P02748,Warehouse Automation,Warehouse Automation project for RetailAnalytics,RetailAnalytics,EMP133,Data Engineering,2025-04-17,2026-03-17,,In Progress,Critical,34,430000,6,2025-02-28
P02749,Supply Chain Analytics,Supply Chain Analytics project for IndustrialTech,IndustrialTech,EMP121,Sales,2026-07-03,2026-10-18,2026-11-06,Completed,Medium,100,1655000,7,2026-05-28
P02750,AI Demand Forecasting,AI Demand Forecasting project for XYZ Technologies,XYZ Technologies,EMP133,AI Development,2025-09-01,2026-06-14,2026-06-22,Completed,Medium,100,1755000,6,2025-08-25
P02751,Customer Support Chatbot,Customer Support Chatbot project for IndustrialTech,IndustrialTech,EMP107,IT Infrastructure,2025-10-15,2026-05-06,,In Progress,High,72,415000,19,2025-09-15
P02752,HR Automation System,HR Automation System project for XYZ Technologies,XYZ Technologies,EMP141,Operations,2026-01-20,2026-06-14,2026-07-11,Completed,Medium,100,1385000,18,2025-12-06
P02753,Online Learning Platform,Online Learning Platform project for FinTech Solutions,FinTech Solutions,EMP127,Healthcare IT,2025-06-08,2025-10-23,,In Progress,Medium,35,1535000,12,2025-05-29
P02754,Data Warehouse Development,Data Warehouse Development project for DigitalHub,DigitalHub,EMP109,Finance,2026-08-16,2027-02-20,,In Progress,High,44,1680000,15,2026-07-23
P02755,AI Demand Forecasting,AI Demand Forecasting project for FinTech Solutions,FinTech Solutions,EMP122,Data Engineering,2025-01-27,2025-04-07,,In Progress,Medium,57,270000,14,2024-12-13
P02756,Social Media Analytics,Social Media Analytics project for MedCare Hospitals,MedCare Hospitals,EMP116,IT,2025-04-03,2025-12-12,2025-11-28,Completed,High,100,2035000,18,2025-03-03
P02757,Social Media Analytics,Social Media Analytics project for FinTech Solutions,FinTech Solutions,EMP118,AI Development,2026-08-18,2027-02-09,,In Progress,Critical,75,1440000,9,2026-07-20
P02758,CRM Implementation,CRM Implementation project for EduTech,EduTech,EMP103,Finance,2025-09-29,2026-06-18,,In Progress,Medium,83,1180000,15,2025-08-27
P02759,Employee Training Portal,Employee Training Portal project for XYZ Technologies,XYZ Technologies,EMP101,Sales,2026-06-20,2027-01-15,,In Progress,High,66,1240000,10,2026-05-16
P02760,Supply Chain Analytics,Supply Chain Analytics project for FinanceCorp,FinanceCorp,EMP118,Analytics,2026-06-28,2027-06-20,2027-07-22,Delayed,Medium,63,1270000,12,2026-06-10
P02761,Mobile Banking Application,Mobile Banking Application project for MedCare Hospitals,MedCare Hospitals,EMP116,Marketing,2026-08-18,2026-10-28,,In Progress,Critical,84,2165000,8,2026-08-08
P02762,Supply Chain Analytics,Supply Chain Analytics project for SalesPro,SalesPro,EMP150,Data Engineering,2026-03-12,2026-09-30,,In Progress,Medium,65,1795000,16,2026-01-30
P02763,Employee Training Portal,Employee Training Portal project for MarketPlus,MarketPlus,EMP114,Human Resources,2026-02-14,2026-09-18,,In Progress,Medium,23,895000,19,2025-12-27
P02764,E-Commerce Platform,E-Commerce Platform project for Global Traders,Global Traders,EMP117,IT,2026-01-04,2026-05-08,,Planning,High,1,280000,20,2025-12-15
P02765,Customer Support Chatbot,Customer Support Chatbot project for MarketPlus,MarketPlus,EMP146,Healthcare IT,2026-02-14,2026-11-01,,In Progress,Critical,58,1095000,10,2026-01-25
P02766,Cloud Migration Project,Cloud Migration Project project for MarketPlus,MarketPlus,EMP143,Data Engineering,2025-06-04,2025-11-11,2025-11-28,Completed,High,100,675000,4,2025-05-22
P02767,Employee Training Portal,Employee Training Portal project for ABC Corporation,ABC Corporation,EMP103,Analytics,2026-05-05,2027-02-18,,In Progress,High,15,1615000,18,2026-04-17
P02768,AI Demand Forecasting,AI Demand Forecasting project for CloudWorks,CloudWorks,EMP105,Security,2025-04-23,2026-03-29,2026-04-23,Completed,Critical,100,1690000,3,2025-03-30
P02769,Marketing Analytics Platform,Marketing Analytics Platform project for MedCare Hospitals,MedCare Hospitals,EMP105,IT Infrastructure,2025-10-15,2026-08-29,2026-09-26,Delayed,Medium,69,975000,5,2025-08-27
P02770,AI Demand Forecasting,AI Demand Forecasting project for MedCare Hospitals,MedCare Hospitals,EMP123,Operations,2025-08-13,2026-04-17,,In Progress,High,78,2190000,19,2025-06-24
P02771,Data Warehouse Development,Data Warehouse Development project for PeopleFirst,PeopleFirst,EMP129,Operations,2026-04-02,2027-01-01,,In Progress,Low,95,2460000,8,2026-02-07
P02772,E-Commerce Platform,E-Commerce Platform project for FinanceCorp,FinanceCorp,EMP118,IT,2025-06-03,2026-04-20,,In Progress,Low,16,1305000,12,2025-05-07
P02773,Customer Support Chatbot,Customer Support Chatbot project for MedCare Hospitals,MedCare Hospitals,EMP101,Marketing,2025-05-04,2026-04-27,2026-05-13,Completed,Medium,100,1315000,6,2025-04-21
P02774,Cybersecurity Upgrade,Cybersecurity Upgrade project for FinTech Solutions,FinTech Solutions,EMP111,AI Development,2026-05-01,2027-02-01,,In Progress,Critical,63,425000,7,2026-03-05
P02775,Cloud Migration Project,Cloud Migration Project project for DataCorp,DataCorp,EMP131,Operations,2025-10-20,2026-09-22,,In Progress,Medium,90,2225000,8,2025-10-11
P02776,Healthcare Management System,Healthcare Management System project for SecureNet,SecureNet,EMP119,Human Resources,2026-03-09,2027-02-25,2027-02-26,Completed,Medium,100,570000,6,2026-03-02
P02777,Cloud Migration Project,Cloud Migration Project project for DataCorp,DataCorp,EMP107,IT,2026-06-12,2026-09-21,2026-10-15,Completed,Low,100,1665000,15,2026-04-27
P02778,Document Management System,Document Management System project for Global Traders,Global Traders,EMP133,Customer Success,2026-05-17,2026-12-08,,In Progress,Low,26,1700000,15,2026-05-11
P02779,Employee Training Portal,Employee Training Portal project for MarketPlus,MarketPlus,EMP131,Healthcare IT,2025-08-28,2026-02-03,2026-03-15,Delayed,Medium,75,1025000,5,2025-07-24
P02780,E-Commerce Platform,E-Commerce Platform project for FinanceCorp,FinanceCorp,EMP125,Operations,2025-04-13,2026-03-27,2026-06-21,Delayed,Low,88,475000,20,2025-02-18
P02781,Healthcare Management System,Healthcare Management System project for PeopleFirst,PeopleFirst,EMP148,Healthcare IT,2026-07-31,2027-05-10,,In Progress,High,20,1720000,12,2026-06-05
P02782,Document Management System,Document Management System project for MedCare Hospitals,MedCare Hospitals,EMP143,Human Resources,2025-07-05,2026-05-29,,Planning,High,9,1020000,15,2025-06-20
P02783,Employee Payroll System,Employee Payroll System project for LogiTech,LogiTech,EMP102,Marketing,2026-04-07,2026-09-10,2026-09-02,Completed,High,100,595000,3,2026-03-24
P02784,Warehouse Automation,Warehouse Automation project for MarketPlus,MarketPlus,EMP146,IT Infrastructure,2026-04-07,2027-02-15,2027-05-15,Delayed,Medium,25,2305000,9,2026-03-22
P02785,Document Management System,Document Management System project for PeopleFirst,PeopleFirst,EMP103,Customer Success,2025-09-23,2025-12-02,,In Progress,High,54,1345000,20,2025-08-25
P02786,Mobile Banking Application,Mobile Banking Application project for SecureNet,SecureNet,EMP125,Finance,2025-04-09,2026-03-20,2026-04-05,Completed,Medium,100,1825000,18,2025-02-20
P02787,Financial Reporting Dashboard,Financial Reporting Dashboard project for IndustrialTech,IndustrialTech,EMP146,Operations,2025-10-11,2026-02-06,,In Progress,Medium,84,925000,3,2025-09-26
P02788,HR Automation System,HR Automation System project for LogiTech,LogiTech,EMP150,Human Resources,2025-03-29,2025-10-28,,In Progress,Medium,35,585000,15,2025-03-15
P02789,E-Commerce Platform,E-Commerce Platform project for IndustrialTech,IndustrialTech,EMP102,Healthcare IT,2025-07-31,2026-05-01,2026-04-22,Completed,Medium,100,330000,16,2025-07-03
P02790,Warehouse Automation,Warehouse Automation project for DigitalHub,DigitalHub,EMP104,IT Infrastructure,2025-08-18,2026-05-27,2026-07-01,Delayed,Medium,76,1025000,5,2025-07-11
P02791,Document Management System,Document Management System project for CloudWorks,CloudWorks,EMP113,Development,2025-11-07,2026-02-27,,Planning,Medium,17,365000,18,2025-10-17
P02792,Inventory Management System,Inventory Management System project for DataCorp,DataCorp,EMP114,Security,2025-04-22,2025-11-30,,Planning,High,0,2480000,6,2025-04-15
P02793,Cybersecurity Upgrade,Cybersecurity Upgrade project for OfficePro,OfficePro,EMP114,Analytics,2026-05-23,2026-12-23,,In Progress,High,57,775000,20,2026-03-28
P02794,Cloud Migration Project,Cloud Migration Project project for IndustrialTech,IndustrialTech,EMP121,Sales,2025-02-17,2025-12-07,,In Progress,Medium,35,535000,3,2024-12-26
P02795,HR Automation System,HR Automation System project for FinanceCorp,FinanceCorp,EMP116,Analytics,2026-08-15,2027-01-09,2026-12-23,Completed,Medium,100,2100000,14,2026-07-16
P02796,Document Management System,Document Management System project for SecureNet,SecureNet,EMP130,Operations,2025-07-07,2026-04-22,,Planning,High,20,2050000,7,2025-06-01
P02797,Social Media Analytics,Social Media Analytics project for LogiTech,LogiTech,EMP143,Development,2025-10-21,2026-06-20,2026-07-18,Completed,Medium,100,2495000,13,2025-09-27
P02798,Online Learning Platform,Online Learning Platform project for FinTech Solutions,FinTech Solutions,EMP128,Marketing,2026-06-10,2027-03-24,,In Progress,Low,71,800000,16,2026-05-12
P02799,Cybersecurity Upgrade,Cybersecurity Upgrade project for ABC Corporation,ABC Corporation,EMP117,Marketing,2026-01-28,2026-12-19,2026-12-06,Completed,High,100,360000,13,2025-12-11
P02800,Employee Training Portal,Employee Training Portal project for RetailAnalytics,RetailAnalytics,EMP129,Sales,2025-02-03,2025-08-04,,In Progress,Medium,57,1875000,16,2025-01-10
P02801,Employee Payroll System,Employee Payroll System project for RetailAnalytics,RetailAnalytics,EMP132,IT,2025-12-29,2026-06-30,2026-06-10,Completed,Low,100,2070000,16,2025-11-11
P02802,Supply Chain Analytics,Supply Chain Analytics project for PeopleFirst,PeopleFirst,EMP145,Operations,2025-12-06,2026-10-01,,In Progress,Medium,67,1040000,8,2025-11-14
P02803,AI Demand Forecasting,AI Demand Forecasting project for RetailAnalytics,RetailAnalytics,EMP148,Finance,2026-07-14,2027-05-05,,In Progress,Medium,29,2355000,18,2026-06-27
P02804,HR Automation System,HR Automation System project for EduTech,EduTech,EMP114,Operations,2025-12-04,2026-10-25,,In Progress,Low,55,1985000,4,2025-11-15
P02805,Inventory Management System,Inventory Management System project for PeopleFirst,PeopleFirst,EMP146,Human Resources,2026-08-19,2027-03-28,,In Progress,High,77,1170000,12,2026-07-19
P02806,AI Demand Forecasting,AI Demand Forecasting project for Global Traders,Global Traders,EMP141,Development,2025-11-15,2026-07-21,,In Progress,Medium,91,1870000,16,2025-09-18
P02807,Financial Reporting Dashboard,Financial Reporting Dashboard project for FinanceCorp,FinanceCorp,EMP107,Human Resources,2025-04-26,2025-06-28,2025-08-24,Delayed,Low,30,250000,15,2025-03-16
P02808,Healthcare Management System,Healthcare Management System project for Global Traders,Global Traders,EMP128,Marketing,2025-10-31,2026-05-09,2026-05-12,Completed,High,100,1015000,8,2025-10-10
P02809,Employee Payroll System,Employee Payroll System project for OfficePro,OfficePro,EMP108,Operations,2026-07-05,2026-11-05,,In Progress,Medium,88,630000,20,2026-06-23
P02810,Inventory Management System,Inventory Management System project for SalesPro,SalesPro,EMP125,Operations,2025-01-11,2025-11-25,2025-12-09,Completed,Critical,100,935000,20,2024-12-24
P02811,Cloud Migration Project,Cloud Migration Project project for OfficePro,OfficePro,EMP103,Human Resources,2025-08-28,2025-11-20,,In Progress,Medium,37,720000,5,2025-08-02
P02812,Financial Reporting Dashboard,Financial Reporting Dashboard project for LogiTech,LogiTech,EMP115,Security,2025-01-29,2025-11-19,,In Progress,Medium,85,1860000,4,2024-12-30
P02813,Inventory Management System,Inventory Management System project for LogiTech,LogiTech,EMP130,IT Infrastructure,2026-05-21,2027-03-29,,In Progress,High,91,2115000,13,2026-05-04
P02814,AI Demand Forecasting,AI Demand Forecasting project for DataCorp,DataCorp,EMP116,Customer Success,2025-11-03,2026-05-17,,Planning,Critical,16,655000,6,2025-10-15
P02815,Inventory Management System,Inventory Management System project for EduTech,EduTech,EMP101,Human Resources,2026-03-06,2026-11-19,,In Progress,High,94,1190000,4,2026-02-20
P02816,HR Automation System,HR Automation System project for ABC Corporation,ABC Corporation,EMP120,Operations,2026-08-04,2027-03-22,,In Progress,High,59,1595000,17,2026-07-16
P02817,Data Warehouse Development,Data Warehouse Development project for MedCare Hospitals,MedCare Hospitals,EMP128,Analytics,2026-05-15,2027-02-04,,In Progress,High,77,575000,10,2026-03-25
P02818,Social Media Analytics,Social Media Analytics project for CloudWorks,CloudWorks,EMP139,Data Engineering,2025-09-02,2026-05-24,,Planning,Low,19,1060000,18,2025-08-14
P02819,Mobile Banking Application,Mobile Banking Application project for XYZ Technologies,XYZ Technologies,EMP107,Human Resources,2026-07-15,2026-11-17,,In Progress,High,31,690000,16,2026-06-30
P02820,Cybersecurity Upgrade,Cybersecurity Upgrade project for Global Traders,Global Traders,EMP124,Operations,2025-10-11,2026-07-03,,In Progress,Medium,72,1515000,14,2025-09-29
P02821,Cloud Migration Project,Cloud Migration Project project for ABC Retail,ABC Retail,EMP110,Healthcare IT,2026-08-11,2027-07-10,,In Progress,Medium,75,2280000,9,2026-08-04
P02822,Warehouse Automation,Warehouse Automation project for Global Traders,Global Traders,EMP108,Development,2026-08-13,2027-01-04,,In Progress,Medium,54,1290000,16,2026-06-21
P02823,Mobile Banking Application,Mobile Banking Application project for Global Traders,Global Traders,EMP107,Healthcare IT,2025-05-13,2025-10-03,,In Progress,Medium,63,1760000,4,2025-03-28
P02824,AI Demand Forecasting,AI Demand Forecasting project for XYZ Technologies,XYZ Technologies,EMP138,Security,2026-04-13,2026-08-29,,In Progress,Low,68,1870000,8,2026-03-29
P02825,CRM Implementation,CRM Implementation project for XYZ Technologies,XYZ Technologies,EMP146,Marketing,2026-02-23,2027-01-25,,In Progress,Medium,51,2480000,17,2026-02-05
P02826,Warehouse Automation,Warehouse Automation project for IndustrialTech,IndustrialTech,EMP134,Analytics,2026-04-08,2027-03-02,2027-03-05,Completed,Low,100,1665000,15,2026-04-02
P02827,Employee Training Portal,Employee Training Portal project for Global Traders,Global Traders,EMP119,Analytics,2025-04-11,2025-09-14,,In Progress,High,63,665000,7,2025-04-05
P02828,Document Management System,Document Management System project for EduTech,EduTech,EMP148,Customer Success,2025-10-30,2026-10-09,2026-09-29,Completed,Medium,100,275000,18,2025-09-13
P02829,CRM Implementation,CRM Implementation project for XYZ Technologies,XYZ Technologies,EMP125,Marketing,2025-04-01,2026-01-14,,In Progress,Low,51,565000,12,2025-03-07
P02830,Mobile Banking Application,Mobile Banking Application project for OfficePro,OfficePro,EMP127,Marketing,2026-06-23,2026-12-13,,In Progress,High,53,530000,16,2026-05-25
P02831,Document Management System,Document Management System project for ServicePro,ServicePro,EMP132,Customer Success,2026-06-08,2027-04-13,,In Progress,Medium,51,1425000,5,2026-04-21
P02832,Employee Payroll System,Employee Payroll System project for SecureNet,SecureNet,EMP133,Operations,2025-12-15,2026-11-17,2027-01-12,Delayed,Medium,52,1240000,5,2025-11-21
P02833,Healthcare Management System,Healthcare Management System project for SalesPro,SalesPro,EMP125,Human Resources,2025-03-19,2026-02-04,,In Progress,Critical,41,1635000,20,2025-01-20
P02834,Cloud Migration Project,Cloud Migration Project project for PeopleFirst,PeopleFirst,EMP124,Analytics,2026-01-30,2026-08-13,,In Progress,High,23,425000,19,2025-12-27
P02835,Employee Training Portal,Employee Training Portal project for SalesPro,SalesPro,EMP116,Finance,2025-09-21,2026-01-13,,In Progress,Medium,58,2095000,9,2025-09-06
P02836,Cloud Migration Project,Cloud Migration Project project for CloudWorks,CloudWorks,EMP135,Operations,2026-04-18,2026-07-25,2026-10-11,Delayed,Medium,50,495000,19,2026-03-14
P02837,AI Demand Forecasting,AI Demand Forecasting project for PeopleFirst,PeopleFirst,EMP134,Human Resources,2025-03-01,2026-01-04,,In Progress,Low,17,1790000,17,2025-02-07
P02838,Social Media Analytics,Social Media Analytics project for IndustrialTech,IndustrialTech,EMP122,IT,2025-09-01,2026-06-07,,In Progress,Medium,57,1810000,7,2025-08-06
P02839,Customer Support Chatbot,Customer Support Chatbot project for ABC Corporation,ABC Corporation,EMP136,IT Infrastructure,2025-08-05,2026-05-03,,In Progress,Medium,83,1530000,9,2025-06-25
P02840,AI Demand Forecasting,AI Demand Forecasting project for OfficePro,OfficePro,EMP107,Data Engineering,2026-07-26,2026-09-23,2026-09-09,Completed,Medium,100,645000,12,2026-06-05
P02841,Supply Chain Analytics,Supply Chain Analytics project for RetailAnalytics,RetailAnalytics,EMP121,Human Resources,2025-06-28,2026-06-16,2026-06-09,Completed,Critical,100,1630000,9,2025-05-27
P02842,Cybersecurity Upgrade,Cybersecurity Upgrade project for SecureNet,SecureNet,EMP150,Finance,2026-08-16,2026-11-05,2026-11-28,Completed,High,100,2330000,8,2026-06-26
P02843,Employee Payroll System,Employee Payroll System project for OfficePro,OfficePro,EMP137,IT Infrastructure,2026-07-08,2027-02-23,2027-03-21,Completed,High,100,2060000,7,2026-06-13
P02844,Marketing Analytics Platform,Marketing Analytics Platform project for FinTech Solutions,FinTech Solutions,EMP137,Marketing,2025-12-19,2026-11-30,,In Progress,High,35,540000,14,2025-11-24
P02845,Marketing Analytics Platform,Marketing Analytics Platform project for CloudWorks,CloudWorks,EMP144,Data Engineering,2025-04-15,2025-08-15,,In Progress,High,87,995000,10,2025-02-23
P02846,Marketing Analytics Platform,Marketing Analytics Platform project for DataCorp,DataCorp,EMP131,Data Engineering,2025-05-14,2025-12-10,2026-01-06,Delayed,Medium,58,2025000,20,2025-04-27
P02847,Social Media Analytics,Social Media Analytics project for OfficePro,OfficePro,EMP134,Healthcare IT,2025-01-11,2025-11-20,,In Progress,High,46,695000,18,2024-12-29
P02848,Employee Training Portal,Employee Training Portal project for FinTech Solutions,FinTech Solutions,EMP125,Security,2026-04-10,2026-08-18,,Planning,High,18,1860000,4,2026-03-10
P02849,Financial Reporting Dashboard,Financial Reporting Dashboard project for IndustrialTech,IndustrialTech,EMP142,AI Development,2026-03-12,2026-05-28,,In Progress,High,91,2315000,14,2026-03-01
P02850,Employee Training Portal,Employee Training Portal project for XYZ Technologies,XYZ Technologies,EMP136,Human Resources,2025-07-13,2026-01-27,,In Progress,Low,89,890000,14,2025-06-30
P02851,Inventory Management System,Inventory Management System project for ABC Corporation,ABC Corporation,EMP127,IT,2026-03-15,2027-01-08,,In Progress,Medium,77,460000,3,2026-02-04
P02852,Employee Training Portal,Employee Training Portal project for DataCorp,DataCorp,EMP107,Development,2025-12-13,2026-07-31,,In Progress,Medium,65,1285000,17,2025-11-23
P02853,Mobile Banking Application,Mobile Banking Application project for FinanceCorp,FinanceCorp,EMP141,AI Development,2026-05-05,2026-11-07,,In Progress,Low,83,955000,12,2026-04-24
P02854,HR Automation System,HR Automation System project for IndustrialTech,IndustrialTech,EMP117,Human Resources,2025-02-22,2025-10-29,,Planning,High,18,1395000,17,2025-01-27
P02855,Cybersecurity Upgrade,Cybersecurity Upgrade project for OfficePro,OfficePro,EMP118,AI Development,2025-04-30,2025-06-30,,In Progress,Critical,87,930000,11,2025-03-10
P02856,HR Automation System,HR Automation System project for Global Traders,Global Traders,EMP107,Healthcare IT,2026-04-30,2026-10-03,2026-12-16,Delayed,High,78,1385000,10,2026-04-04
P02857,Online Learning Platform,Online Learning Platform project for FinanceCorp,FinanceCorp,EMP111,Human Resources,2025-08-10,2026-07-01,2026-06-30,Completed,Low,100,605000,15,2025-07-19
P02858,Employee Payroll System,Employee Payroll System project for XYZ Technologies,XYZ Technologies,EMP107,Analytics,2026-07-30,2027-01-14,2027-03-22,Delayed,Low,44,640000,16,2026-07-16
P02859,Cybersecurity Upgrade,Cybersecurity Upgrade project for SecureNet,SecureNet,EMP105,IT,2026-06-13,2027-06-01,,Planning,Medium,20,1115000,16,2026-05-23
P02860,Supply Chain Analytics,Supply Chain Analytics project for DigitalHub,DigitalHub,EMP102,Human Resources,2025-02-26,2025-10-04,2025-11-28,Delayed,Medium,77,450000,11,2025-01-24
P02861,Inventory Management System,Inventory Management System project for SalesPro,SalesPro,EMP115,IT,2025-08-31,2026-08-09,2026-09-21,Delayed,Low,81,2465000,13,2025-08-05
P02862,Document Management System,Document Management System project for FinTech Solutions,FinTech Solutions,EMP138,Healthcare IT,2026-03-15,2026-11-15,,In Progress,Low,26,975000,20,2026-02-05
P02863,Warehouse Automation,Warehouse Automation project for Global Traders,Global Traders,EMP144,IT Infrastructure,2025-03-23,2025-09-18,2025-08-29,Completed,Medium,100,700000,18,2025-02-22
P02864,CRM Implementation,CRM Implementation project for ABC Retail,ABC Retail,EMP112,Analytics,2026-06-01,2027-05-06,,In Progress,Low,16,1830000,10,2026-04-24
P02865,HR Automation System,HR Automation System project for MarketPlus,MarketPlus,EMP122,Finance,2025-02-28,2025-07-09,,In Progress,Medium,94,1195000,14,2025-01-09
P02866,E-Commerce Platform,E-Commerce Platform project for SecureNet,SecureNet,EMP142,Human Resources,2025-03-07,2025-08-24,2025-08-22,Completed,High,100,2405000,5,2025-01-17
P02867,Healthcare Management System,Healthcare Management System project for Global Traders,Global Traders,EMP136,IT Infrastructure,2025-11-23,2026-08-26,,In Progress,Critical,64,370000,9,2025-09-25
P02868,Inventory Management System,Inventory Management System project for IndustrialTech,IndustrialTech,EMP146,IT,2025-05-29,2026-04-18,,Planning,High,12,1330000,12,2025-05-20
P02869,Social Media Analytics,Social Media Analytics project for FinanceCorp,FinanceCorp,EMP122,Marketing,2026-01-19,2026-05-05,,In Progress,Medium,71,780000,9,2025-12-31
P02870,Customer Support Chatbot,Customer Support Chatbot project for CloudWorks,CloudWorks,EMP109,IT Infrastructure,2025-08-24,2026-08-21,2026-09-01,Completed,Medium,100,1830000,19,2025-08-11
P02871,Financial Reporting Dashboard,Financial Reporting Dashboard project for DataCorp,DataCorp,EMP108,Data Engineering,2025-06-12,2025-12-11,2025-12-30,Completed,Medium,100,1480000,18,2025-04-28
P02872,AI Demand Forecasting,AI Demand Forecasting project for CloudWorks,CloudWorks,EMP136,Healthcare IT,2026-05-18,2026-10-18,,In Progress,High,71,785000,3,2026-04-19
P02873,Warehouse Automation,Warehouse Automation project for MarketPlus,MarketPlus,EMP102,Human Resources,2025-04-06,2025-07-01,,On Hold,High,12,1430000,7,2025-04-01
P02874,Customer Support Chatbot,Customer Support Chatbot project for MedCare Hospitals,MedCare Hospitals,EMP124,Marketing,2025-10-24,2025-12-16,,Planning,High,6,2000000,5,2025-09-23
P02875,Employee Training Portal,Employee Training Portal project for LogiTech,LogiTech,EMP118,IT,2025-04-12,2025-11-21,,In Progress,Medium,58,2445000,5,2025-03-08
P02876,Cloud Migration Project,Cloud Migration Project project for ServicePro,ServicePro,EMP146,Finance,2025-03-24,2025-11-17,,In Progress,Critical,17,760000,12,2025-03-08
P02877,Data Warehouse Development,Data Warehouse Development project for FinanceCorp,FinanceCorp,EMP150,IT,2025-05-04,2025-07-18,2025-07-08,Completed,High,100,370000,16,2025-04-12
P02878,Document Management System,Document Management System project for PeopleFirst,PeopleFirst,EMP125,Sales,2025-06-03,2026-05-03,2026-04-23,Completed,Low,100,1525000,16,2025-05-13
P02879,Social Media Analytics,Social Media Analytics project for DigitalHub,DigitalHub,EMP130,AI Development,2025-09-05,2026-04-12,2026-04-30,Completed,Medium,100,945000,10,2025-08-02
P02880,AI Demand Forecasting,AI Demand Forecasting project for IndustrialTech,IndustrialTech,EMP119,IT Infrastructure,2025-10-08,2025-12-09,2026-01-07,Delayed,Medium,82,1925000,10,2025-09-25
P02881,E-Commerce Platform,E-Commerce Platform project for MedCare Hospitals,MedCare Hospitals,EMP139,Security,2025-03-25,2026-02-02,,In Progress,Medium,28,1980000,7,2025-02-23
P02882,Customer Support Chatbot,Customer Support Chatbot project for MedCare Hospitals,MedCare Hospitals,EMP115,Analytics,2025-01-24,2025-05-12,,In Progress,Medium,49,675000,18,2024-12-21
P02883,Online Learning Platform,Online Learning Platform project for XYZ Technologies,XYZ Technologies,EMP138,Data Engineering,2025-02-26,2025-11-13,,In Progress,High,26,1255000,17,2025-01-23
P02884,E-Commerce Platform,E-Commerce Platform project for FinanceCorp,FinanceCorp,EMP146,IT,2026-01-14,2026-10-02,,In Progress,Medium,20,305000,9,2025-12-14
P02885,Employee Training Portal,Employee Training Portal project for EduTech,EduTech,EMP109,IT Infrastructure,2026-08-08,2027-06-08,,In Progress,High,50,1880000,6,2026-06-24
P02886,Inventory Management System,Inventory Management System project for FinanceCorp,FinanceCorp,EMP112,Sales,2025-01-16,2025-11-16,,In Progress,Medium,77,1480000,11,2024-12-05
P02887,Document Management System,Document Management System project for SecureNet,SecureNet,EMP119,Sales,2025-01-21,2026-01-16,,In Progress,Critical,38,2455000,16,2024-12-21
P02888,HR Automation System,HR Automation System project for XYZ Technologies,XYZ Technologies,EMP142,Sales,2026-04-14,2026-06-25,,In Progress,Medium,52,1010000,7,2026-03-06
P02889,Mobile Banking Application,Mobile Banking Application project for LogiTech,LogiTech,EMP133,Sales,2026-03-11,2026-08-19,,Planning,Critical,19,1730000,9,2026-03-01
P02890,Inventory Management System,Inventory Management System project for FinanceCorp,FinanceCorp,EMP110,AI Development,2026-03-17,2026-08-25,,On Hold,Medium,34,1540000,5,2026-02-26
