task_id,task_name,project_id,assigned_employee,deadline,progress,status
T451,Integration Testing,P003,EMP029,2026-11-19,90,Completed
T452,Database Design,P016,EMP048,2026-10-15,84,In Progress
T453,Database Design,P014,EMP049,2026-09-11,52,In Progress
T454,System Design,P015,EMP047,2026-10-04,56,In Progress
T455,Registration Module,P016,EMP020,2026-11-17,67,In Progress
T456,Database Design,P020,EMP018,2026-11-04,66,On Hold
T457,Deployment,P048,EMP012,2026-11-04,59,In Progress
T458,Documentation,P042,EMP043,2026-12-03,68,In Progress
T459,Report Generation,P027,EMP010,2026-10-12,83,In Progress
T460,Backend Development,P031,EMP016,2026-10-02,19,On Hold
T461,Requirements Analysis,P030,EMP004,2026-10-16,35,Cancelled
T462,Documentation,P034,EMP009,2026-09-25,57,In Progress
T463,Security Testing,P042,EMP006,2026-12-11,83,In Progress
T464,Database Design,P047,EMP013,2026-09-28,20,In Progress
T465,System Design,P005,EMP013,2026-11-25,93,Completed
T466,Testing,P031,EMP014,2026-10-02,0,Cancelled
T467,Login Module,P014,EMP013,2026-11-28,30,Cancelled
T468,Integration Testing,P016,EMP045,2026-11-23,45,In Progress
T469,Report Generation,P036,EMP021,2026-10-12,60,In Progress
T470,Bug Fixing,P020,EMP017,2026-10-29,39,On Hold
T471,Performance Testing,P007,EMP047,2026-11-30,93,Completed
T472,Deployment,P024,EMP021,2026-08-30,43,In Progress
T473,UI Design,P048,EMP010,2026-09-27,68,In Progress
T474,Frontend Development,P019,EMP010,2026-10-06,46,In Progress
T475,Testing,P032,EMP036,2026-09-26,97,Completed
T476,Performance Testing,P047,EMP042,2026-10-22,60,In Progress
T477,Requirements Analysis,P011,EMP009,2026-10-26,84,In Progress
T478,User Acceptance Testing,P042,EMP004,2026-08-29,91,Completed
T479,UI Design,P043,EMP004,2026-10-16,10,Not Started
T480,Registration Module,P015,EMP005,2026-08-26,73,In Progress
T481,Integration Testing,P024,EMP004,2026-11-14,99,Completed
T482,Performance Testing,P031,EMP043,2026-08-27,8,Not Started
T483,UI Design,P027,EMP001,2026-10-31,98,Completed
T484,User Acceptance Testing,P019,EMP002,2026-12-07,96,Completed
T485,Login Module,P012,EMP007,2026-10-31,3,Not Started
T486,Data Analysis,P040,EMP034,2026-12-07,65,In Progress
T487,Documentation,P006,EMP024,2026-10-22,43,In Progress
T488,API Development,P020,EMP044,2026-11-16,41,Cancelled
T489,API Development,P049,EMP003,2026-10-15,85,In Progress
T490,UI Design,P031,EMP004,2026-11-22,78,In Progress
T491,Testing,P028,EMP042,2026-11-05,6,Cancelled
T492,Backend Development,P034,EMP003,2026-09-21,54,On Hold
T493,Data Analysis,P037,EMP031,2026-08-30,53,On Hold
T494,System Design,P018,EMP035,2026-11-17,5,Not Started
T495,System Design,P002,EMP014,2026-09-12,96,Completed
T496,Dashboard Development,P005,EMP020,2026-11-05,64,In Progress
T497,Testing,P044,EMP035,2026-10-13,92,Completed
T498,API Development,P045,EMP047,2026-10-28,95,Completed
T499,Deployment,P004,EMP007,2026-09-23,95,Completed
T500,Integration Testing,P039,EMP050,2026-11-09,56,In Progress
